Year;France;Germany;Italy;Spain
1995;56,1059;54,9024;119,3622;61,5424
1996;59,9984;57,7939;119,1093;65,4076
1997;61,425;58,8666;116,7821;64,2495
1998;61,3474;59,5347;114,1269;62,306
1999;60,4965;60,3874;113,2895;60,8039
2000;58,8824;59,3398;109,0258;57,8153
2001;58,3439;58,193;108,8863;54,0495
2002;60,258;59,9458;106,3605;51,2499
2003;64,4127;63,5383;105,4946;47,7117
2004;65,9391;65,2009;105,1009;45,3655
2005;67,383;67,5463;106,5575;42,4302
2006;64,6108;66,8871;106,7398;39,0639
2007;64,5355;64,1583;103,8895;35,7646
2008;68,7783;65,6816;106,164;39,712
2009;83,0389;73,1566;116,6097;53,2613
2010;85,2569;81,9947;119,1985;60,5153
2011;87,8344;79,4172;119,693;69,8504
2012;90,604;80,7451;126,4947;89,9825
2013;93,4132;78,3224;132,457;100,4877
2014;94,8887;75,2791;135,3671;105,0588
2015;95,5797;71,9465;135,2811;103,2993
2016;97,9568;68,9553;134,7851;102,7485
2017;98,1321;65,2101;134,1626;101,7996
2018;97,7815;61,9046;134,4431;100,4155
2019;97,4281;59,5804;134,1566;98,221
2020;114,6482;68,773;154,9168;120,2658
2021;112,8521;68,9861;147,0579;116,8408
2022;111,7555;66,0769;141,6685;111,6184
2023;109,5651;64,7926;139,8193;107,5083
2024;109,4734;63,597;140,564;106,4946
2025;110,0355;62,6864;140,8941;106,471
